Object	RA	e_RA	Dec	e_Dec	Distance	e_Distance	FeH	e_FeH	Parallax	e_Parallax	Tspec	e_Tspec	logg	e_logg
1.6079204486375E+018	214.33246731556	5.85555555555556E-08	52.59541713974	6.13611111111111E-08	637.787842	96.3168945	nan	0	1.5493	0.2657	nan	0	nan	0
1.60799758624921E+018	214.65526009639	8.41666666666667E-09	52.5150376083	1.02777777777778E-08	2199.5188	148.264405	-1.4918	0	0.4212	0.0398	6200.9067	0	4.4272	0
1.60799724265183E+018	214.76962827887	7.77777777777778E-09	52.5534764543	8.41666666666667E-09	280.224915	2.95808400000001	0.1039	0	3.5359	0.0357	3622.625	0	4.6498	0
1.60799885326368E+018	214.81439239377	0.00000001725	52.5830453346	1.85555555555556E-08	785.559387	48.920776	-0.2446	0	1.2792	0.0782	3890.5767	0	4.6336	0
1.60800531719034E+018	214.86217177586	1.27222222222222E-08	52.66226798731	1.31666666666667E-08	722.384338	29.000885	-0.1608	0	1.3665	0.0553	4009.2607	0	4.6995	0
1.60801899236617E+018	214.34999595055	4.80555555555556E-09	52.78887077864	4.72222222222222E-09	555.61792	6.25421150000005	-0.058	0	1.7693	0.0207	4736.5254	0	4.6447	0
1.60791958534887E+018	214.33819874697	6.38333333333333E-08	52.57780351485	7.46666666666667E-08	421.210541	54.360138	nan	0	2.4412	0.2962	nan	0	nan	0
1.60792460616585E+018	214.29301713126	2.33611111111111E-08	52.72437302904	2.20833333333333E-08	211.86615	4.55600749999999	0.1471	0	4.6696	0.098	3459.6353	0	4.7769	0
1.60790378416442E+018	214.61425294858	1.84722222222222E-08	52.50252908782	1.99166666666667E-08	1410.35132	159.110045	-0.0125	0	0.6631	0.0828	4306.1177	0	4.4772	0
1.60802049989881E+018	214.44086413544	5.16666666666667E-09	52.83931349295	5.19444444444445E-09	761.382385	14.409485	-0.3174	0	1.3006	0.0223	5948.1953	0	4.0347	0
1.60800535154908E+018	214.87328684824	1.63888888888889E-08	52.67049112672	1.67222222222222E-08	336.619995	7.8706665	nan	0	2.9414	0.0707	nan	0	nan	0
1.60792072351541E+018	214.29666952437	7.80555555555556E-09	52.61987358513	7.97222222222222E-09	2915.76074	359.300905	-1.4928	0	0.3171	0.0347	6222.2568	0	4.4158	0
1.60801844261036E+018	214.29511176986	5.41666666666667E-09	52.73839600329	5.27777777777778E-09	1713.13452	78.094295	-0.6605	0	0.5619	0.023	5825.0615	0	3.9296	0
1.60790670044577E+018	214.59056561571	4.34444444444444E-08	52.49870616058	4.58333333333333E-08	286.841125	14.4485015	nan	0	3.4211	0.1887	nan	0	nan	0
1.60799923122082E+018	214.85711241295	0.0000000195	52.61319912724	0.00000002075	389.752838	13.1643215	-1.2593	0	2.5319	0.0886	3473.2302	0	4.4445	0
1.60792034555829E+018	214.32782339545	1.32222222222222E-08	52.57840912864	1.44444444444444E-08	1610.68384	132.290225	-0.7286	0	0.592	0.0594	4986.0459	0	4.6826	0
1.60801129578481E+018	214.72344048027	4.44444444444444E-09	52.83985719821	4.52777777777778E-09	475.23056	4.0822905	-1.4378	0	2.0736	0.0194	5254.4199	0	4.7516	0
1.60801129578481E+018	214.72503871212	1.26944444444444E-08	52.83934099193	0.000000013	500.273193	12.1352995	-0.5045	0	1.9823	0.0551	4039.1311	0	4.7733	0
1.60792062043619E+018	214.29137507867	7.16666666666667E-09	52.61797305568	7.41666666666667E-09	2495.09814	189.582885	-1.0294	0	0.3703	0.0324	5524.7598	0	4.2692	0
1.60792457180611E+018	214.27701511371	8.05555555555556E-09	52.71291685747	7.77777777777778E-09	592.38623	12.967987	0.0224	0	1.662	0.0343	4380.4873	0	4.6415	0
1.60791948656484E+018	214.35083031612	1.38333333333333E-08	52.5554719191	1.51944444444444E-08	571.807678	21.1885685	-0.2146	0	1.7273	0.0606	3906.1182	0	4.7032	0
1.60799710521287E+018	214.75352454389	1.21388888888889E-08	52.52800044455	1.39166666666667E-08	1496.07251	124.762455	-0.8306	0	0.6326	0.0568	4864.7935	0	4.6877	0
1.60801136450427E+018	214.71673753076	3.27777777777778E-09	52.84837112108	0.0000000035	1073.78943	18.93561	-0.5404	0	0.903	0.0146	5788.9072	0	4.2534	0
1.60800624490362E+018	214.88868311021	3.38888888888889E-09	52.69701769375	3.63888888888889E-09	1258.82251	22.969175	0.0679	0	0.7667	0.0154	5473.6494	0	3.9502	0
1.60790725449798E+018	214.47186181192	1.58888888888889E-08	52.49706970925	1.74166666666667E-08	1107.5282	97.104795	0.0118	0	0.8653	0.0699	4368.4028	0	4.6616	0
1.60792030690218E+018	214.31810465927	2.90277777777778E-08	52.56602298082	3.00833333333333E-08	232.234558	7.043457	-0.9951	0	4.2739	0.1316	3170.1082	0	4.7769	0
1.60790742200028E+018	214.43673091452	2.56388888888889E-08	52.50370059774	2.64444444444444E-08	326.343964	11.7267305	-0.1576	0	3.014	0.109	3365.0747	0	4.9151	0
1.60790660166297E+018	214.57843740295	6.94444444444445E-09	52.48350553918	7.88888888888889E-09	509.302124	7.60072350000002	-0.0006	0	1.9414	0.0317	4314.4824	0	4.6312	0
1.6080191985246E+018	214.35323101282	1.43611111111111E-08	52.82390674175	1.39444444444444E-08	869.336243	42.919403	-0.2463	0	1.1364	0.063	4391.3364	0	4.4764	0
1.60802311123916E+018	214.68715393606	0.0000000465	52.86767597768	4.80555555555556E-08	908.84198	164.7795395	nan	0	1.1018	0.2017	nan	0	nan	0
1.60799713957262E+018	214.77430574203	6.33333333333333E-09	52.52035291806	6.77777777777778E-09	767.258972	17.3828735	-0.5952	0	1.2713	0.0289	4733.9258	0	4.4674	0
1.60800709960102E+018	214.86496414166	1.21111111111111E-08	52.78058879141	1.23888888888889E-08	2917.24316	572.62036	-2.5993	0	0.3104	0.0537	6664.4209	0	4.463	0
1.60792402205029E+018	214.24626668207	1.00833333333333E-08	52.66787122671	9.44444444444445E-09	855.924133	30.596283	0.0783	0	1.141	0.0417	4494.3589	0	4.5211	0
1.60801032941645E+018	214.82175299258	2.54722222222222E-08	52.81682299224	2.77222222222222E-08	1356.8363	206.35065	-0.3773	0	0.6919	0.1137	4517.8867	0	4.4721	0
1.60790371544495E+018	214.63551574724	1.45833333333333E-08	52.48174874934	1.72777777777778E-08	1587.15601	171.65338	-0.4869	0	0.5986	0.0691	4447.3623	0	4.6808	0
1.60801930160382E+018	214.2798139179	1.98888888888889E-08	52.77402813813	1.93611111111111E-08	334.355133	9.99990800000001	-0.7879	0	2.9749	0.0854	3334.5698	0	4.5677	0
1.60801005883423E+018	214.85356085986	0.00000001525	52.79603009851	1.54722222222222E-08	2373.09912	414.590085	-1.0931	0	0.3927	0.0681	5383.1611	0	4.4043	0
1.60802067169773E+018	214.4025135638	1.53333333333333E-08	52.85375584217	0.0000000145	2407.91333	425.39789	-0.4953	0	0.4067	0.066	4768.6377	0	4.4729	0
1.60800665722014E+018	214.90204530695	1.01111111111111E-08	52.73402634381	1.01944444444444E-08	558.647888	13.699493	0.2544	0	1.769	0.044	4259.7773	0	4.5698	0
1.60802338611707E+018	214.65371480951	9.61111111111111E-09	52.88155162017	1.05833333333333E-08	1421.25098	106.726315	-0.5175	0	0.6811	0.0423	5198.0942	0	4.674	0
