B     B-V     U-B     V-I     V-K     Mv   CL Typ    Teff   logg  Pop  Age     Mass   Mbol    Radius   [M/H]    [a/Fe]  longitude   latitude   RAJ2000     DECJ2000   Dist     x_Gal    y_Gal    z_Gal     Av       errMv     errMass     errAge     errTeff    errLogg    errMet     errAlphaFe     errBand_B  errBand_U  errBand_V  errBand_I  errBand_K                                                                             
  21.114  1.890   1.276   2.149   4.228  12.74  5 7.30    3356.  5.24  11 12.0773  0.260   10.842    0.176  -1.306   0.354    95.399284   59.689270  215.322342   52.368073   0.1938  -8.0092   0.0974   0.1823   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0067     0.0281    -0.0190     0.0410    -0.0057
  18.891  1.469   1.189   2.000   3.935  10.62  5 7.10    3736.  5.19  11 12.0670  0.374    9.489    0.273  -0.342   0.247    96.526871   59.700527  214.610153   52.737347   0.2195  -8.0126   0.1100   0.2045   0.075    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0155    -0.0278     0.0182    -0.0061    -0.0184
  23.050  1.751   1.433   3.040   5.714  14.50  5 7.50    3037.  5.03   7  8.7853  0.166   11.680    0.143  -0.144  -0.004    96.767982   59.346687  214.840134   53.085087   0.2209  -8.0133   0.1118   0.2050   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0060    -0.0031     0.0057     0.0159    -0.0038
  22.807  1.685   1.439   2.974   5.629  14.18  5 7.45    3071.  5.03   6  5.9445  0.170   11.521    0.153  -0.036   0.097    96.610924   60.112625  214.116135   52.451805   0.2365  -8.0136   0.1171   0.2201   0.069    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0121     0.0152     0.0038     0.0501     0.0182
  22.522  1.661   1.363   2.970   5.595  13.84  5 7.45    3204.  5.05   5  3.9812  0.083   11.134    0.179   0.060   0.029    97.173073   59.748932  214.147491   52.911415   0.2419  -8.0152   0.1209   0.2240   0.074    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0091     0.0029     0.0280     0.0063    -0.0044
  22.368  1.685   1.404   2.890   5.508  13.82  5 7.45    3069.  5.03   6  5.8783  0.029   11.134    0.179   0.067   0.048    96.272423   59.836803  214.622498   52.550461   0.2311  -8.0127   0.1154   0.2148   0.069    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0345    -0.0058    -0.0261     0.0266     0.0110
  21.916  1.540   1.381   2.896   5.427  13.52  5 7.45    3221.  4.89   6  5.9749  0.304   10.831    0.202   0.101   0.041    96.757477   59.420372  214.766861   53.025791   0.2246  -8.0134   0.1135   0.2084   0.067    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0050    -0.0071     0.0330     0.0117    -0.0086
  21.821  1.504   1.388   2.931   5.424  13.34  5 7.40    3180.  4.98   2  0.0388  0.117   10.756    0.208   0.075   0.008    95.887817   59.560658  215.162796   52.629093   0.2338  -8.0121   0.1178   0.2165   0.066    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0015     0.0111     0.0651    -0.0005     0.0039
  21.532  1.568   1.304   2.736   5.218  12.98  5 7.40    3175.  5.18   5  4.0552  0.044   10.481    0.230   0.150  -0.037    97.818489   59.709568  213.771393   53.148602   0.2430  -8.0167   0.1215   0.2249   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0120    -0.0127    -0.0122     0.0337    -0.0020
  21.282  1.664   1.326   2.668   5.068  12.68  5 7.40    3264.  5.11   7  8.6277  0.165   10.357    0.239  -0.238  -0.003    96.142921   59.980446  214.547958   52.399509   0.2377  -8.0127   0.1183   0.2209   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0056     0.0257    -0.0105     0.0032     0.0120
  21.060  1.652   1.301   2.499   4.859  12.39  5 7.35    3392.  5.09   6  6.1625  0.439   10.111    0.259  -0.466  -0.021    96.228836   59.806557  214.682388   52.558853   0.2437  -8.0133   0.1218   0.2256   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0089     0.0122     0.0093     0.0379    -0.0077
