#Object	RA	e_RA	Dec	e_Dec	Distance	e_Distance	FeH	e_FeH	Parallax	e_Parallax	Teff_J-PLUS_W	e_Teff_J-PLUS_W	Teff_J-PLUS_Y	e_Teff_J-PLUS_Y	Teff_LAMOST	e_Teff_LAMOST	Tspec	e_Tspec	logg	e_logg
1607988549638041472	215.4575874	2.6944444444444447e-09	52.87330444	3e-09	765.478699	6.831543000000011	-0.5805	0	1.2767	0.0119	6123.374944	0	6037.7896	0	5906.12	0	5998.9033	0	4.2967	0
1608045689882919936	215.0801633	7.944444444444445e-09	53.15855871	7.75e-09	1228.87524	49.02941499999997	-1.4144	0	0.7921	0.0323	5672.15349	0	5543.332	0	nan	nan	5568.7178	0	4.5748	0
1608044929673279744	215.092513	2.7277777777777776e-08	53.15410187	2.627777777777778e-08	709.493774	54.66592400000002	-1.177	0	1.4185	0.1123	4457.07652	0	5846.6748	0	nan	nan	3371.2837	0	4.3701	0
1608079190628654848	213.7397305	2.0083333333333334e-08	52.43007851	2.2000000000000002e-08	478.810822	16.851135499999998	-0.2151	0	2.0527	0.0919	nan	nan	60585.8867	0	nan	nan	3526.0979	0	4.8297	0
1608052183873442816	214.9093453	1.2666666666666668e-08	53.21123742	1.2972222222222222e-08	3154.84448	515.64221	-1.4201	0	0.2948	0.0541	6270.573825	0	6191.9131	0	nan	nan	6110.752	0	4.4806	0
1608045999120552064	215.0153407	6.722222222222222e-09	53.1827207	6.9166666666666666e-09	1335.13635	52.561585000000036	-0.6009	0	0.7268	0.0285	5568.102482	0	5480.4385	0	nan	nan	5375.6953	0	4.4774	0
1608079465506562048	213.7210518	2.388888888888889e-09	52.45191865	2.777777777777778e-09	592.919373	4.040099999999995	-0.0856	0	1.6689	0.0114	5771.457226	0	5716.4043	0	5638.87	0	5763.3242	0	4.0921	0
1608079259348131712	213.7261808	9.666666666666666e-09	52.44336298	1.038888888888889e-08	1087.56531	42.48217999999997	-0.3446	0	0.8971	0.0439	4906.821477	0	4787.8149	0	nan	nan	4757.1587	0	4.6053	0
1607991985611879424	215.4115587	2.8611111111111112e-09	52.94452119	3.3055555555555557e-09	613.415222	5.442840499999988	-0.3296	0	1.6044	0.0136	5661.396176	0	nan	nan	nan	nan	5683.0249	0	4.4951	0
1607895091151157632	214.2526189	1.9805555555555555e-08	52.14557702	1.9305555555555557e-08	1444.24829	159.31756499999995	-0.271	0	0.6726	0.0816	nan	nan	nan	nan	nan	nan	3996.9563	0	4.692	0
1607890001613573120	213.8118467	1.7925e-07	52.34952293	1.8752777777777778e-07	218.48439	44.85244749999998	nan	0	4.8679	0.7872	nan	nan	nan	nan	nan	nan	nan	0	nan	0
1607872619881715456	214.1845141	3.166666666666667e-09	52.15996373	3.166666666666667e-09	845.004211	8.578338999999971	-0.1407	0	1.1569	0.0135	5715.701938	0	5636.5649	0	5604.62	0	5568.479	0	4.3348	0
1608079568585777408	213.6946492	8e-09	52.47876717	8.694444444444445e-09	2153.07739	172.37487999999985	-0.9789	0	0.4443	0.0373	6208.39442	0	6094.0928	0	nan	nan	6004.4058	0	4.4241	0
1608082523523277312	213.6840592	3.5277777777777777e-09	52.49285386	3.7777777777777774e-09	1291.12952	26.55347000000006	-0.54	0	0.7465	0.0162	5787.1777	0	5660.9077	0	5642.1	0	5575.0557	0	4.1622	0
1607988579702093952	215.4657561	4.8833333333333334e-08	52.88323855	5.502777777777778e-08	565.792786	57.10368349999999	nan	0	1.8131	0.2172	nan	nan	7016.603	0	nan	nan	nan	0	nan	0
